Textbox15,Textbox4,Textbox10
21/05/2020 a 27/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,27","     3,24"
2,BCO J.P. MORGAN S.A.,"   0,32","     3,96"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,37","     4,55"
4,BCO CITIBANK S.A.,"   0,50","     6,22"
5,BCO MERCEDES-BENZ S.A.,"   0,55","     6,80"
6,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
7,BCO VOTORANTIM S.A.,"   0,58","     7,18"
8,BCO SANTANDER (BRASIL) S.A.,"   0,64","     7,90"
9,BANCO FIDIS,"   0,67","     8,32"
10,BANCO BTG PACTUAL S.A.,"   0,75","     9,33"
11,BCO SOCIETE GENERALE BRASIL,"   0,79","     9,88"
12,BCO SAFRA S.A.,"   0,90","    11,39"
13,BCO FIBRA S.A.,"   0,93","    11,76"
14,BCO DO BRASIL S.A.,"   1,07","    13,64"
15,ITAÚ UNIBANCO S.A.,"   1,08","    13,76"
16,BCO ABC BRASIL S.A.,"   1,09","    13,84"
17,BCO INDUSTRIAL DO BRASIL S.A.,"   1,11","    14,15"
18,BCO BNP PARIBAS BRASIL S A,"   1,22","    15,61"
19,BCO DAYCOVAL S.A,"   1,22","    15,70"
20,BCO DO ESTADO DO RS S.A.,"   1,26","    16,21"
21,CAIXA ECONOMICA FEDERAL,"   1,52","    19,83"
22,HS FINANCEIRA,"   1,52","    19,90"
23,BCO SOFISA S.A.,"   1,54","    20,19"
24,BCO DO NORDESTE DO BRASIL S.A.,"   1,56","    20,42"
25,BANCO RANDON S.A.,"   1,57","    20,49"
26,OMNI BANCO S.A.,"   1,70","    22,37"
27,BANCO MONEO S.A.,"   1,73","    22,91"
28,BCO RIBEIRAO PRETO S.A.,"   1,77","    23,50"
29,SANTANA S.A. - CFI,"   1,78","    23,51"
30,KREDILIG S.A. - CFI,"   1,78","    23,56"
31,BCO BRADESCO S.A.,"   1,85","    24,60"
32,BCO BANESTES S.A.,"   1,99","    26,70"
33,BCO RENDIMENTO S.A.,"   2,05","    27,53"
34,BANCO ORIGINAL,"   2,10","    28,38"
35,SANTINVEST S.A. - CFI,"   2,11","    28,50"
36,BCO DA AMAZONIA S.A.,"   2,32","    31,64"
37,BCO MAXINVEST S.A.,"   2,33","    31,85"
38,GAZINCRED S.A. SCFI,"   2,63","    36,59"
39,BCO MERCANTIL DO BRASIL S.A.,"   2,69","    37,46"
40,BCO TRIANGULO S.A.,"   2,70","    37,65"
41,BRB - BCO DE BRASILIA S.A.,"   3,59","    52,67"
42,BIORC FINANCEIRA - CFI S.A.,"   3,70","    54,62"
43,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
44,BCO CREFISA S.A.,"   4,53","    70,20"
45,FINAMAX S.A. CFI,"   4,60","    71,52"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,61","    92,58"
47,BANCO DIGIO,"  10,22","   221,32"

