Textbox15,Textbox4,Textbox10
15/05/2020 a 21/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,34","     4,13"
2,BCO CITIBANK S.A.,"   0,55","     6,76"
3,BCO MERCEDES-BENZ S.A.,"   0,59","     7,26"
4,BCO SAFRA S.A.,"   0,66","     8,23"
5,BANCO FIDIS,"   0,67","     8,32"
6,BCO SOCIETE GENERALE BRASIL,"   0,67","     8,40"
7,BANCO BTG PACTUAL S.A.,"   0,68","     8,41"
8,BCO SANTANDER (BRASIL) S.A.,"   0,69","     8,61"
9,BCO VOTORANTIM S.A.,"   0,73","     9,08"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,90","    11,39"
11,BCO FIBRA S.A.,"   1,02","    12,96"
12,ITAÚ UNIBANCO S.A.,"   1,13","    14,43"
13,BCO DO ESTADO DO RS S.A.,"   1,14","    14,60"
14,BCO DAYCOVAL S.A,"   1,18","    15,14"
15,BCO DO BRASIL S.A.,"   1,28","    16,55"
16,HS FINANCEIRA,"   1,37","    17,78"
17,BCO DO NORDESTE DO BRASIL S.A.,"   1,52","    19,86"
18,CAIXA ECONOMICA FEDERAL,"   1,55","    20,27"
19,GAZINCRED S.A. SCFI,"   1,59","    20,87"
20,BANCO RANDON S.A.,"   1,63","    21,36"
21,BCO SOFISA S.A.,"   1,64","    21,55"
22,OMNI BANCO S.A.,"   1,70","    22,44"
23,BCO BRADESCO S.A.,"   1,72","    22,77"
24,SANTINVEST S.A. - CFI,"   1,75","    23,17"
25,BANCO MONEO S.A.,"   1,76","    23,34"
26,BCO RIBEIRAO PRETO S.A.,"   1,77","    23,44"
27,BCO BNP PARIBAS BRASIL S A,"   1,79","    23,75"
28,BCO GUANABARA S.A.,"   1,90","    25,40"
29,BCO RENDIMENTO S.A.,"   2,00","    26,85"
30,BCO MAXINVEST S.A.,"   2,03","    27,32"
31,BCO BANESTES S.A.,"   2,05","    27,56"
32,BANCO ORIGINAL,"   2,11","    28,47"
33,BCO LUSO BRASILEIRO S.A.,"   2,30","    31,32"
34,BCO DA AMAZONIA S.A.,"   2,32","    31,63"
35,BCO TRIANGULO S.A.,"   2,83","    39,77"
36,SANTANA S.A. - CFI,"   3,00","    42,65"
37,BRB - BCO DE BRASILIA S.A.,"   3,05","    43,45"
38,BCO A.J. RENNER S.A.,"   3,11","    44,46"
39,BCO MERCANTIL DO BRASIL S.A.,"   3,42","    49,75"
40,BCO CREFISA S.A.,"   3,57","    52,32"
41,BIORC FINANCEIRA - CFI S.A.,"   3,73","    55,21"
42,BCO DO EST. DE SE S.A.,"   3,89","    58,15"
43,BCO CAPITAL S.A.,"   4,34","    66,58"
44,FINAMAX S.A. CFI,"   4,82","    75,96"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   5,44","    88,78"
46,BANCO DIGIO,"  10,39","   227,48"

