Textbox15,Textbox4,Textbox10
25/05/2020 a 29/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,32","     3,88"
2,BCO CITIBANK S.A.,"   0,51","     6,24"
3,BCO MERCEDES-BENZ S.A.,"   0,55","     6,75"
4,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
5,BCO VOTORANTIM S.A.,"   0,58","     7,19"
6,BCO HSBC S.A.,"   0,62","     7,70"
7,BCO SANTANDER (BRASIL) S.A.,"   0,64","     7,94"
8,BANCO FIDIS,"   0,71","     8,84"
9,BCO SOCIETE GENERALE BRASIL,"   0,76","     9,47"
10,BANCO BTG PACTUAL S.A.,"   0,77","     9,61"
11,BCO BRADESCO S.A.,"   0,81","    10,13"
12,BCO SAFRA S.A.,"   0,87","    10,93"
13,BCO FIBRA S.A.,"   0,94","    11,94"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   0,96","    12,12"
15,ITAÚ UNIBANCO S.A.,"   1,06","    13,44"
16,BCO ABC BRASIL S.A.,"   1,06","    13,47"
17,BCO DO BRASIL S.A.,"   1,08","    13,82"
18,BCO C6 S.A.,"   1,12","    14,28"
19,BCO BNP PARIBAS BRASIL S A,"   1,14","    14,54"
20,BCO DO ESTADO DO RS S.A.,"   1,22","    15,62"
21,BCO DAYCOVAL S.A,"   1,25","    16,04"
22,BCO RIBEIRAO PRETO S.A.,"   1,40","    18,16"
23,BCO SOFISA S.A.,"   1,50","    19,58"
24,HS FINANCEIRA,"   1,52","    19,90"
25,CAIXA ECONOMICA FEDERAL,"   1,53","    19,97"
26,BCO MERCANTIL DO BRASIL S.A.,"   1,54","    20,14"
27,BANCO RANDON S.A.,"   1,55","    20,29"
28,BCO DO NORDESTE DO BRASIL S.A.,"   1,61","    21,10"
29,GAZINCRED S.A. SCFI,"   1,69","    22,27"
30,BANCO MONEO S.A.,"   1,72","    22,75"
31,OMNI BANCO S.A.,"   1,73","    22,84"
32,SANTANA S.A. - CFI,"   1,73","    22,84"
33,KREDILIG S.A. - CFI,"   1,78","    23,56"
34,BCO BANESTES S.A.,"   2,00","    26,89"
35,BCO RENDIMENTO S.A.,"   2,05","    27,64"
36,BANCO ORIGINAL,"   2,15","    29,07"
37,SANTINVEST S.A. - CFI,"   2,16","    29,16"
38,BCO DA AMAZONIA S.A.,"   2,30","    31,30"
39,BCO MAXINVEST S.A.,"   2,30","    31,42"
40,BCO TRIANGULO S.A.,"   2,60","    36,06"
41,BCO CAPITAL S.A.,"   2,84","    39,88"
42,BRB - BCO DE BRASILIA S.A.,"   3,47","    50,59"
43,BIORC FINANCEIRA - CFI S.A.,"   3,70","    54,62"
44,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
45,FINAMAX S.A. CFI,"   4,41","    67,81"
46,BCO CREFISA S.A.,"   5,10","    81,63"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   5,33","    86,53"
48,BANCO DIGIO,"   9,25","   188,99"

