Textbox15,Textbox4,Textbox10
21/05/2020 a 27/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,28","     3,42"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,35","     4,22"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,42","     5,20"
4,BCO HONDA S.A.,"   0,42","     5,21"
5,BANCOOB,"   0,53","     6,50"
6,BCO CITIBANK S.A.,"   0,56","     6,89"
7,BCO RABOBANK INTL BRASIL S.A.,"   0,62","     7,75"
8,BCO ABC BRASIL S.A.,"   0,64","     8,01"
9,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
10,BCO DO BRASIL S.A.,"   0,77","     9,67"
11,BCO FIBRA S.A.,"   0,91","    11,44"
12,BCO ALFA DE INVESTIMENTO S.A.,"   0,93","    11,73"
13,BCO SANTANDER (BRASIL) S.A.,"   0,94","    11,86"
14,ITAÚ UNIBANCO S.A.,"   0,96","    12,17"
15,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,68"
16,BCO SAFRA S.A.,"   1,10","    13,96"
17,BCO BS2 S.A.,"   1,10","    14,03"
18,BCO PINE S.A.,"   1,18","    15,13"
19,BCO BRADESCO S.A.,"   1,22","    15,67"
20,BCO VOLVO BRASIL S.A.,"   1,25","    16,04"
21,BCO SOFISA S.A.,"   1,26","    16,27"
22,BCO DAYCOVAL S.A,"   1,27","    16,34"
23,BCO DO EST. DE SE S.A.,"   1,29","    16,60"
24,BANCO PORTO REAL DE INVEST.S.A,"   1,30","    16,77"
25,AMAGGI S.A. CFI,"   1,31","    16,91"
26,BCO DO ESTADO DO RS S.A.,"   1,38","    17,94"
27,CAIXA ECONOMICA FEDERAL,"   1,41","    18,25"
28,BANCO INBURSA,"   1,47","    19,12"
29,BCO DO EST. DO PA S.A.,"   1,54","    20,16"
30,BANCO SEMEAR,"   1,61","    21,18"
31,BCO TRIANGULO S.A.,"   1,68","    22,10"
32,BCO GUANABARA S.A.,"   1,70","    22,42"
33,BCO DA AMAZONIA S.A.,"   1,76","    23,27"
34,FINANC ALFA S.A. CFI,"   2,00","    26,82"
35,BCO RENDIMENTO S.A.,"   2,01","    27,02"
36,BCO MUFG BRASIL S.A.,"   2,03","    27,24"
37,BCO INDUSCRED DE INVESTIM. S/A,"   2,12","    28,69"
38,BRB - BCO DE BRASILIA S.A.,"   2,13","    28,78"
39,BCO ARBI S.A.,"   2,20","    29,84"
40,GOLCRED S/A - CFI,"   2,41","    33,15"
41,PORTOSEG S.A. CFI,"   2,62","    36,38"
42,SENFF S.A. - CFI,"   2,68","    37,41"
43,BCO MERCANTIL DO BRASIL S.A.,"   3,01","    42,81"
44,BRK S.A. CFI,"   3,02","    42,84"
45,BANCO TOPÁZIO S.A.,"   8,04","   152,88"

