Textbox15,Textbox4,Textbox10
22/05/2020 a 28/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,27","     3,24"
2,BCO J.P. MORGAN S.A.,"   0,32","     3,91"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,37","     4,55"
4,BCO CITIBANK S.A.,"   0,51","     6,27"
5,BCO MERCEDES-BENZ S.A.,"   0,55","     6,79"
6,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
7,BCO VOTORANTIM S.A.,"   0,57","     7,08"
8,BCO SANTANDER (BRASIL) S.A.,"   0,64","     7,92"
9,BANCO FIDIS,"   0,71","     8,85"
10,BCO SOCIETE GENERALE BRASIL,"   0,76","     9,47"
11,BANCO BTG PACTUAL S.A.,"   0,77","     9,57"
12,BCO BRADESCO S.A.,"   0,84","    10,57"
13,BCO SAFRA S.A.,"   0,89","    11,27"
14,BCO FIBRA S.A.,"   0,94","    11,88"
15,BCO INDUSTRIAL DO BRASIL S.A.,"   0,97","    12,30"
16,ITAÚ UNIBANCO S.A.,"   1,05","    13,29"
17,BCO ABC BRASIL S.A.,"   1,07","    13,56"
18,BCO DO BRASIL S.A.,"   1,07","    13,65"
19,BCO BNP PARIBAS BRASIL S A,"   1,11","    14,18"
20,BCO C6 S.A.,"   1,12","    14,28"
21,BCO DO ESTADO DO RS S.A.,"   1,22","    15,71"
22,BCO DAYCOVAL S.A,"   1,23","    15,79"
23,BCO RIBEIRAO PRETO S.A.,"   1,40","    18,16"
24,HS FINANCEIRA,"   1,48","    19,30"
25,BCO DO NORDESTE DO BRASIL S.A.,"   1,51","    19,67"
26,CAIXA ECONOMICA FEDERAL,"   1,53","    19,99"
27,BCO SOFISA S.A.,"   1,55","    20,24"
28,BANCO RANDON S.A.,"   1,56","    20,46"
29,BANCO MONEO S.A.,"   1,69","    22,29"
30,OMNI BANCO S.A.,"   1,70","    22,45"
31,BCO MERCANTIL DO BRASIL S.A.,"   1,75","    23,15"
32,KREDILIG S.A. - CFI,"   1,78","    23,56"
33,BCO BANESTES S.A.,"   2,01","    26,90"
34,BCO RENDIMENTO S.A.,"   2,05","    27,56"
35,SANTANA S.A. - CFI,"   2,07","    27,86"
36,BANCO ORIGINAL,"   2,09","    28,10"
37,SANTINVEST S.A. - CFI,"   2,16","    29,16"
38,BCO DA AMAZONIA S.A.,"   2,30","    31,30"
39,BCO MAXINVEST S.A.,"   2,33","    31,83"
40,GAZINCRED S.A. SCFI,"   2,63","    36,59"
41,BCO TRIANGULO S.A.,"   2,68","    37,36"
42,BRB - BCO DE BRASILIA S.A.,"   3,54","    51,77"
43,BIORC FINANCEIRA - CFI S.A.,"   3,70","    54,62"
44,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
45,BCO CREFISA S.A.,"   4,53","    70,20"
46,FINAMAX S.A. CFI,"   4,60","    71,52"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   5,21","    83,84"
48,BANCO DIGIO,"   9,99","   213,60"

