Textbox15,Textbox4,Textbox10
12/05/2020 a 18/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,33","     3,98"
2,BCO CITIBANK S.A.,"   0,55","     6,78"
3,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
4,BCO MERCEDES-BENZ S.A.,"   0,58","     7,13"
5,BCO SANTANDER (BRASIL) S.A.,"   0,67","     8,39"
6,BANCO BTG PACTUAL S.A.,"   0,70","     8,70"
7,BCO SAFRA S.A.,"   0,72","     9,05"
8,BCO VOTORANTIM S.A.,"   0,73","     9,13"
9,BCO BRADESCO S.A.,"   0,82","    10,26"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,93","    11,76"
11,BCO ABC BRASIL S.A.,"   1,05","    13,37"
12,ITAÚ UNIBANCO S.A.,"   1,09","    13,91"
13,BCO FIBRA S.A.,"   1,11","    14,15"
14,BCO DAYCOVAL S.A,"   1,21","    15,51"
15,BCO DO BRASIL S.A.,"   1,21","    15,52"
16,BCO BS2 S.A.,"   1,26","    16,24"
17,BCO DO ESTADO DO RS S.A.,"   1,28","    16,44"
18,HS FINANCEIRA,"   1,28","    16,47"
19,GAZINCRED S.A. SCFI,"   1,50","    19,57"
20,BCO SOFISA S.A.,"   1,57","    20,54"
21,CAIXA ECONOMICA FEDERAL,"   1,58","    20,70"
22,BANCO MONEO S.A.,"   1,68","    22,07"
23,BANCO RANDON S.A.,"   1,69","    22,22"
24,OMNI BANCO S.A.,"   1,69","    22,24"
25,BCO DO NORDESTE DO BRASIL S.A.,"   1,77","    23,36"
26,BCO RIBEIRAO PRETO S.A.,"   1,77","    23,36"
27,SANTINVEST S.A. - CFI,"   1,90","    25,39"
28,BCO GUANABARA S.A.,"   1,90","    25,40"
29,BCO RENDIMENTO S.A.,"   2,00","    26,75"
30,BCO BNP PARIBAS BRASIL S A,"   2,05","    27,52"
31,BCO MAXINVEST S.A.,"   2,09","    28,11"
32,BANCO ORIGINAL,"   2,11","    28,43"
33,BCO DA AMAZONIA S.A.,"   2,20","    29,79"
34,BCO LUSO BRASILEIRO S.A.,"   2,24","    30,49"
35,BCO BANESTES S.A.,"   2,25","    30,62"
36,CARUANA SCFI,"   2,57","    35,59"
37,BCO TRIANGULO S.A.,"   2,76","    38,62"
38,SANTANA S.A. - CFI,"   2,95","    41,68"
39,BCO CAPITAL S.A.,"   3,05","    43,39"
40,BCO MERCANTIL DO BRASIL S.A.,"   3,13","    44,78"
41,BRB - BCO DE BRASILIA S.A.,"   3,20","    45,87"
42,BCO DO EST. DE SE S.A.,"   3,68","    54,31"
43,BIORC FINANCEIRA - CFI S.A.,"   3,73","    55,21"
44,BCO CREFISA S.A.,"   3,81","    56,58"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   5,54","    90,97"
46,FINAMAX S.A. CFI,"   5,67","    93,72"
47,BANCO DIGIO,"  10,39","   227,48"

