Textbox15,Textbox4,Textbox10
15/05/2020 a 21/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,33","     4,01"
2,BCO HONDA S.A.,"   0,43","     5,25"
3,BCO CITIBANK S.A.,"   0,55","     6,81"
4,BANCOOB,"   0,57","     7,06"
5,BCO ABC BRASIL S.A.,"   0,67","     8,28"
6,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
7,BCO VOTORANTIM S.A.,"   0,80","    10,00"
8,BCO ALFA DE INVESTIMENTO S.A.,"   0,82","    10,36"
9,ITAÚ UNIBANCO S.A.,"   0,87","    10,98"
10,BCO SAFRA S.A.,"   0,88","    11,10"
11,BCO DO BRASIL S.A.,"   0,88","    11,13"
12,BANCO MONEO S.A.,"   0,99","    12,55"
13,BCO SANTANDER (BRASIL) S.A.,"   1,00","    12,70"
14,BCO BRADESCO S.A.,"   1,02","    12,88"
15,BRB - BCO DE BRASILIA S.A.,"   1,06","    13,47"
16,BCO VOLVO BRASIL S.A.,"   1,09","    13,90"
17,BCO DO NORDESTE DO BRASIL S.A.,"   1,09","    13,92"
18,BCO ALFA S.A.,"   1,13","    14,41"
19,BCO GUANABARA S.A.,"   1,30","    16,77"
20,BCO MUFG BRASIL S.A.,"   1,40","    18,21"
21,BANCO BTG PACTUAL S.A.,"   1,40","    18,22"
22,CAIXA ECONOMICA FEDERAL,"   1,48","    19,23"
23,BANCO INBURSA,"   1,50","    19,56"
24,BCO DO ESTADO DO RS S.A.,"   1,55","    20,22"
25,BCO DO EST. DE SE S.A.,"   1,60","    20,98"
26,BANCO SEMEAR,"   1,67","    21,95"
27,OMNI BANCO S.A.,"   1,77","    23,37"
28,CARUANA SCFI,"   1,80","    23,87"
29,BCO ARBI S.A.,"   1,85","    24,60"
30,BCO INDUSTRIAL DO BRASIL S.A.,"   1,90","    25,34"
31,BCO MERCANTIL DO BRASIL S.A.,"   2,08","    28,00"
32,BCO DAYCOVAL S.A,"   2,10","    28,27"
33,LECCA CFI S.A.,"   2,20","    29,77"
34,GOLCRED S/A - CFI,"   2,29","    31,18"
35,BCO TRIANGULO S.A.,"   2,74","    38,32"
36,BCO DA AMAZONIA S.A.,"   2,88","    40,58"
37,SENFF S.A. - CFI,"   3,00","    42,63"
38,BRK S.A. CFI,"   3,01","    42,77"
39,BCO BANESTES S.A.,"   3,09","    44,02"
40,VIA CERTA FINANCIADORA S.A. - CFI,"   3,42","    49,64"
41,PORTOSEG S.A. CFI,"   3,51","    51,21"
42,BANCO TOPÁZIO S.A.,"  12,67","   318,70"

