Textbox15,Textbox4,Textbox10
15/05/2020 a 21/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BANCOOB,"   0,65","     8,14"
3,INTESA SANPAOLO BRASIL S.A. BM,"   0,68","     8,50"
4,BCO ALFA S.A.,"   0,81","    10,20"
5,BCO CATERPILLAR S.A.,"   0,83","    10,39"
6,AMAGGI S.A. CFI,"   0,83","    10,47"
7,BCO SOCIETE GENERALE BRASIL,"   0,84","    10,51"
8,BCO RIBEIRAO PRETO S.A.,"   0,87","    10,90"
9,BCO DO BRASIL S.A.,"   0,92","    11,59"
10,BRB - BCO DE BRASILIA S.A.,"   0,95","    12,06"
11,BCO SOFISA S.A.,"   0,97","    12,27"
12,BCO MERCANTIL DO BRASIL S.A.,"   0,98","    12,39"
13,OMNI BANCO S.A.,"   1,00","    12,68"
14,BCO DO NORDESTE DO BRASIL S.A.,"   1,06","    13,47"
15,BCO DO EST. DO PA S.A.,"   1,07","    13,56"
16,BCO VOLVO BRASIL S.A.,"   1,08","    13,73"
17,BCO BS2 S.A.,"   1,10","    14,03"
18,BCO DAYCOVAL S.A,"   1,11","    14,21"
19,BCO INDUSTRIAL DO BRASIL S.A.,"   1,17","    14,99"
20,CAIXA ECONOMICA FEDERAL,"   1,18","    15,05"
21,BANCO JOHN DEERE S.A.,"   1,19","    15,25"
22,BCO SAFRA S.A.,"   1,19","    15,26"
23,ITAÚ UNIBANCO S.A.,"   1,20","    15,39"
24,BANCO BARI S.A.,"   1,23","    15,80"
25,BRK S.A. CFI,"   1,30","    16,77"
26,BCO DES. DE MG S.A.,"   1,31","    16,92"
27,BCO MAXINVEST S.A.,"   1,34","    17,27"
28,BCO SANTANDER (BRASIL) S.A.,"   1,40","    18,09"
29,BCO DA AMAZONIA S.A.,"   1,40","    18,16"
30,FACTA S.A. CFI,"   1,48","    19,28"
31,BCO DO EST. DE SE S.A.,"   1,50","    19,58"
32,BANCO RANDON S.A.,"   1,55","    20,27"
33,BCO BRADESCO S.A.,"   1,60","    20,92"
34,BCO GUANABARA S.A.,"   1,62","    21,29"
35,PARANA BCO S.A.,"   1,70","    22,42"
36,SENFF S.A. - CFI,"   1,83","    24,32"
37,BCO TRIANGULO S.A.,"   1,90","    25,27"
38,BCO BANESTES S.A.,"   1,97","    26,39"
39,BCO DO ESTADO DO RS S.A.,"   1,97","    26,44"
40,PORTOSEG S.A. CFI,"   2,50","    34,41"
41,BANCO TOPÁZIO S.A.,"   2,92","    41,17"
42,BCO RENDIMENTO S.A.,"   4,00","    60,10"

