Textbox15,Textbox4,Textbox10
07/05/2020 a 13/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,28","     3,42"
2,BCO J.P. MORGAN S.A.,"   0,33","     4,02"
3,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,06"
4,BCO CITIBANK S.A.,"   0,57","     7,09"
5,BCO MERCEDES-BENZ S.A.,"   0,61","     7,54"
6,BCO SANTANDER (BRASIL) S.A.,"   0,70","     8,68"
7,BANCO BTG PACTUAL S.A.,"   0,71","     8,90"
8,BCO VOTORANTIM S.A.,"   0,72","     9,01"
9,BCO SOCIETE GENERALE BRASIL,"   0,77","     9,66"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,87","    10,95"
11,BCO BRADESCO S.A.,"   0,91","    11,54"
12,BCO SAFRA S.A.,"   0,92","    11,67"
13,BCO ABC BRASIL S.A.,"   1,07","    13,62"
14,BCO FIBRA S.A.,"   1,08","    13,81"
15,ITAÚ UNIBANCO S.A.,"   1,11","    14,17"
16,BCO BS2 S.A.,"   1,18","    15,05"
17,BCO DO BRASIL S.A.,"   1,25","    16,02"
18,HS FINANCEIRA,"   1,28","    16,49"
19,BCO DO ESTADO DO RS S.A.,"   1,30","    16,79"
20,BCO DAYCOVAL S.A,"   1,46","    19,05"
21,CAIXA ECONOMICA FEDERAL,"   1,59","    20,87"
22,BCO SOFISA S.A.,"   1,60","    20,96"
23,BCO TRIANGULO S.A.,"   1,62","    21,22"
24,OMNI BANCO S.A.,"   1,69","    22,30"
25,BANCO RANDON S.A.,"   1,70","    22,40"
26,BANCO MONEO S.A.,"   1,75","    23,09"
27,BCO BANESTES S.A.,"   1,81","    23,95"
28,KREDILIG S.A. - CFI,"   1,83","    24,27"
29,SANTINVEST S.A. - CFI,"   1,94","    25,90"
30,BCO BNP PARIBAS BRASIL S A,"   2,00","    26,78"
31,BANCO ORIGINAL,"   2,01","    26,92"
32,BCO RENDIMENTO S.A.,"   2,01","    26,95"
33,BCO DO NORDESTE DO BRASIL S.A.,"   2,02","    27,19"
34,BCO MAXINVEST S.A.,"   2,12","    28,68"
35,BCO LUSO BRASILEIRO S.A.,"   2,16","    29,24"
36,BCO DA AMAZONIA S.A.,"   2,19","    29,70"
37,BCO MERCANTIL DO BRASIL S.A.,"   2,37","    32,50"
38,FINANSINOS S.A. CFI,"   2,67","    37,13"
39,BCO RIBEIRAO PRETO S.A.,"   2,74","    38,27"
40,BRB - BCO DE BRASILIA S.A.,"   2,97","    42,06"
41,SANTANA S.A. - CFI,"   2,98","    42,27"
42,BCO CAPITAL S.A.,"   3,16","    45,33"
43,BCO CREFISA S.A.,"   3,51","    51,26"
44,BIORC FINANCEIRA - CFI S.A.,"   3,55","    51,91"
45,BCO DO EST. DE SE S.A.,"   3,60","    52,78"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,58","    91,82"
47,FINAMAX S.A. CFI,"   6,60","   115,30"
48,GAZINCRED S.A. SCFI,"   6,71","   118,03"
49,BANCO DIGIO,"  10,38","   227,09"

