Textbox15,Textbox4,Textbox10
08/05/2020 a 14/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,28","     3,42"
2,BCO J.P. MORGAN S.A.,"   0,33","     4,00"
3,BCO CITIBANK S.A.,"   0,55","     6,86"
4,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
5,BCO MERCEDES-BENZ S.A.,"   0,60","     7,39"
6,BCO SANTANDER (BRASIL) S.A.,"   0,69","     8,65"
7,BANCO BTG PACTUAL S.A.,"   0,71","     8,83"
8,BCO VOTORANTIM S.A.,"   0,71","     8,92"
9,BCO SOCIETE GENERALE BRASIL,"   0,77","     9,66"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,88","    11,04"
11,BCO BRADESCO S.A.,"   0,88","    11,06"
12,BCO SAFRA S.A.,"   0,92","    11,58"
13,BCO ABC BRASIL S.A.,"   1,05","    13,38"
14,BCO FIBRA S.A.,"   1,07","    13,59"
15,ITAÚ UNIBANCO S.A.,"   1,08","    13,81"
16,BCO DO BRASIL S.A.,"   1,17","    14,98"
17,BCO BS2 S.A.,"   1,26","    16,24"
18,BCO DO ESTADO DO RS S.A.,"   1,28","    16,47"
19,BCO DAYCOVAL S.A,"   1,30","    16,70"
20,HS FINANCEIRA,"   1,38","    17,91"
21,BCO SOFISA S.A.,"   1,54","    20,07"
22,CAIXA ECONOMICA FEDERAL,"   1,62","    21,27"
23,OMNI BANCO S.A.,"   1,68","    22,15"
24,BANCO RANDON S.A.,"   1,70","    22,36"
25,BANCO MONEO S.A.,"   1,71","    22,52"
26,BCO BANESTES S.A.,"   1,76","    23,28"
27,KREDILIG S.A. - CFI,"   1,83","    24,27"
28,BCO RIBEIRAO PRETO S.A.,"   1,91","    25,43"
29,SANTINVEST S.A. - CFI,"   1,93","    25,82"
30,BCO DO NORDESTE DO BRASIL S.A.,"   1,99","    26,72"
31,BCO RENDIMENTO S.A.,"   2,00","    26,80"
32,BANCO ORIGINAL,"   2,02","    27,18"
33,BCO BNP PARIBAS BRASIL S A,"   2,04","    27,49"
34,BCO LUSO BRASILEIRO S.A.,"   2,16","    29,24"
35,BCO DA AMAZONIA S.A.,"   2,20","    29,79"
36,BCO MAXINVEST S.A.,"   2,29","    31,22"
37,BCO MERCANTIL DO BRASIL S.A.,"   2,56","    35,49"
38,CARUANA SCFI,"   2,57","    35,59"
39,BCO TRIANGULO S.A.,"   2,64","    36,69"
40,FINANSINOS S.A. CFI,"   2,67","    37,13"
41,SANTANA S.A. - CFI,"   2,96","    41,94"
42,BRB - BCO DE BRASILIA S.A.,"   3,02","    42,97"
43,BCO CAPITAL S.A.,"   3,10","    44,31"
44,BCO CREFISA S.A.,"   3,51","    51,23"
45,BIORC FINANCEIRA - CFI S.A.,"   3,55","    51,91"
46,BCO DO EST. DE SE S.A.,"   3,60","    52,78"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   5,54","    91,07"
48,GAZINCRED S.A. SCFI,"   6,71","   118,03"
49,FINAMAX S.A. CFI,"   6,89","   122,56"
50,BANCO DIGIO,"  10,79","   242,06"

