Textbox15,Textbox4,Textbox10
12/05/2020 a 18/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,29","     3,57"
2,BCO HONDA S.A.,"   0,43","     5,27"
3,BCO CITIBANK S.A.,"   0,55","     6,79"
4,BANCOOB,"   0,57","     7,06"
5,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
6,BCO DO BRASIL S.A.,"   0,80","    10,00"
7,BCO DO NORDESTE DO BRASIL S.A.,"   0,81","    10,21"
8,BCO ALFA DE INVESTIMENTO S.A.,"   0,82","    10,36"
9,BCO SOFISA S.A.,"   0,91","    11,54"
10,BANCO MONEO S.A.,"   0,99","    12,55"
11,ITAÚ UNIBANCO S.A.,"   0,99","    12,58"
12,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,67"
13,BCO ABC BRASIL S.A.,"   1,03","    13,14"
14,BRB - BCO DE BRASILIA S.A.,"   1,06","    13,48"
15,BCO BRADESCO S.A.,"   1,10","    13,97"
16,BCO VOLVO BRASIL S.A.,"   1,10","    14,02"
17,BANCO RANDON S.A.,"   1,26","    16,19"
18,BCO DAYCOVAL S.A,"   1,30","    16,76"
19,BCO MUFG BRASIL S.A.,"   1,40","    18,21"
20,BCO SANTANDER (BRASIL) S.A.,"   1,41","    18,29"
21,CAIXA ECONOMICA FEDERAL,"   1,41","    18,35"
22,BCO GUANABARA S.A.,"   1,47","    19,10"
23,BCO SAFRA S.A.,"   1,49","    19,41"
24,BCO DO ESTADO DO RS S.A.,"   1,54","    20,14"
25,BANCO INBURSA,"   1,63","    21,41"
26,OMNI BANCO S.A.,"   1,77","    23,37"
27,CARUANA SCFI,"   1,80","    23,87"
28,BCO DA AMAZONIA S.A.,"   1,84","    24,45"
29,BCO MERCANTIL DO BRASIL S.A.,"   1,97","    26,41"
30,GOLCRED S/A - CFI,"   2,18","    29,47"
31,BCO INDUSCRED DE INVESTIM. S/A,"   2,18","    29,50"
32,BANCO SEMEAR,"   2,20","    29,83"
33,BCO DO EST. DE SE S.A.,"   2,26","    30,76"
34,BCO ARBI S.A.,"   2,39","    32,81"
35,LECCA CFI S.A.,"   2,43","    33,32"
36,SOCINAL S.A. CFI,"   2,50","    34,49"
37,BCO BANESTES S.A.,"   2,67","    37,23"
38,BCO TRIANGULO S.A.,"   2,72","    37,98"
39,BRK S.A. CFI,"   3,01","    42,77"
40,PORTOSEG S.A. CFI,"   3,01","    42,79"
41,BANCO BTG PACTUAL S.A.,"   3,03","    42,99"
42,BANCO TOPÁZIO S.A.,"   3,74","    55,37"
43,SENFF S.A. - CFI,"   4,44","    68,32"

