Textbox15,Textbox4,Textbox10
05/05/2020 a 11/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BCO CITIBANK S.A.,"   0,59","     7,30"
3,BCO ABC BRASIL S.A.,"   0,61","     7,59"
4,PORTOCRED S.A. - CFI,"   0,63","     7,79"
5,SOROCRED CFI S.A.,"   0,65","     8,08"
6,BCO VOTORANTIM S.A.,"   0,65","     8,13"
7,BANCOOB,"   0,72","     8,93"
8,BCO SOFISA S.A.,"   0,78","     9,79"
9,BCO ALFA DE INVESTIMENTO S.A.,"   0,80","    10,09"
10,BCO SOCIETE GENERALE BRASIL,"   0,88","    11,03"
11,BCO DO BRASIL S.A.,"   0,90","    11,40"
12,BRB - BCO DE BRASILIA S.A.,"   0,95","    11,99"
13,CAIXA ECONOMICA FEDERAL,"   0,95","    12,02"
14,BCO DO NORDESTE DO BRASIL S.A.,"   0,99","    12,59"
15,BCO VOLVO BRASIL S.A.,"   1,06","    13,47"
16,BCO SAFRA S.A.,"   1,08","    13,78"
17,BCO TRIANGULO S.A.,"   1,09","    13,84"
18,BCO MERCANTIL DO BRASIL S.A.,"   1,13","    14,46"
19,BCO DAYCOVAL S.A,"   1,18","    15,06"
20,ITAÚ UNIBANCO S.A.,"   1,20","    15,38"
21,BCO PINE S.A.,"   1,25","    16,07"
22,BCO DES. DE MG S.A.,"   1,34","    17,26"
23,BCO DO EST. DE SE S.A.,"   1,39","    17,95"
24,BCO DO EST. DO PA S.A.,"   1,45","    18,81"
25,BCO DA AMAZONIA S.A.,"   1,48","    19,34"
26,BCO RIBEIRAO PRETO S.A.,"   1,50","    19,56"
27,BCO GUANABARA S.A.,"   1,52","    19,86"
28,BCO BRADESCO S.A.,"   1,65","    21,67"
29,FACTA S.A. CFI,"   1,67","    21,99"
30,BCO SANTANDER (BRASIL) S.A.,"   1,70","    22,48"
31,CARUANA SCFI,"   1,72","    22,69"
32,BCO BANESTES S.A.,"   1,76","    23,30"
33,BANCO SEMEAR,"   1,79","    23,68"
34,BCO INDUSTRIAL DO BRASIL S.A.,"   1,91","    25,51"
35,GOLCRED S/A - CFI,"   1,95","    26,09"
36,BCO DO ESTADO DO RS S.A.,"   2,11","    28,40"
37,SIMPALA S.A. CFI,"   2,19","    29,71"
38,BCO MAXINVEST S.A.,"   2,22","    30,13"
39,PORTOSEG S.A. CFI,"   2,34","    32,02"
40,BANCO TOPÁZIO S.A.,"   2,46","    33,86"
41,SOCINAL S.A. CFI,"   2,60","    36,07"
42,OMNI BANCO S.A.,"   4,03","    60,73"

