Textbox15,Textbox4,Textbox10
05/05/2020 a 11/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,28","     3,42"
2,BCO J.P. MORGAN S.A.,"   0,34","     4,15"
3,BCO CITIBANK S.A.,"   0,55","     6,82"
4,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,06"
5,BCO MERCEDES-BENZ S.A.,"   0,63","     7,84"
6,BCO SANTANDER (BRASIL) S.A.,"   0,71","     8,92"
7,BANCO BTG PACTUAL S.A.,"   0,73","     9,09"
8,BCO SOCIETE GENERALE BRASIL,"   0,77","     9,66"
9,BCO VOTORANTIM S.A.,"   0,82","    10,26"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,88","    11,05"
11,BCO SAFRA S.A.,"   0,92","    11,61"
12,BCO BRADESCO S.A.,"   0,94","    11,85"
13,BCO ABC BRASIL S.A.,"   1,07","    13,63"
14,ITAÚ UNIBANCO S.A.,"   1,09","    13,86"
15,BCO BS2 S.A.,"   1,09","    13,92"
16,BCO FIBRA S.A.,"   1,14","    14,52"
17,BCO DO BRASIL S.A.,"   1,26","    16,27"
18,BCO DO ESTADO DO RS S.A.,"   1,31","    16,96"
19,HS FINANCEIRA,"   1,38","    17,91"
20,BCO DAYCOVAL S.A,"   1,39","    18,08"
21,BCO RIBEIRAO PRETO S.A.,"   1,47","    19,20"
22,CAIXA ECONOMICA FEDERAL,"   1,60","    20,91"
23,BCO TRIANGULO S.A.,"   1,61","    21,06"
24,BANCO RANDON S.A.,"   1,62","    21,28"
25,BCO BANESTES S.A.,"   1,69","    22,22"
26,OMNI BANCO S.A.,"   1,71","    22,61"
27,BANCO MONEO S.A.,"   1,77","    23,37"
28,BCO SOFISA S.A.,"   1,78","    23,59"
29,KREDILIG S.A. - CFI,"   1,83","    24,27"
30,BCO RENDIMENTO S.A.,"   1,94","    25,92"
31,SANTINVEST S.A. - CFI,"   1,95","    26,15"
32,BANCO ORIGINAL,"   1,96","    26,19"
33,BCO BNP PARIBAS BRASIL S A,"   1,98","    26,59"
34,BCO DO NORDESTE DO BRASIL S.A.,"   2,03","    27,21"
35,BCO LUSO BRASILEIRO S.A.,"   2,03","    27,30"
36,BCO MERCANTIL DO BRASIL S.A.,"   2,08","    28,03"
37,BCO MAXINVEST S.A.,"   2,11","    28,44"
38,FINANSINOS S.A. CFI,"   2,67","    37,13"
39,BCO DA AMAZONIA S.A.,"   2,86","    40,31"
40,BRB - BCO DE BRASILIA S.A.,"   2,98","    42,23"
41,SANTANA S.A. - CFI,"   3,16","    45,21"
42,BCO CAPITAL S.A.,"   3,41","    49,45"
43,BCO CREFISA S.A.,"   3,41","    49,45"
44,BIORC FINANCEIRA - CFI S.A.,"   3,55","    51,91"
45,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,51","    90,43"
47,FINAMAX S.A. CFI,"   5,61","    92,56"
48,BANCO DIGIO,"   8,75","   173,68"

