Textbox15,Textbox4,Textbox10
04/05/2020 a 08/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,34","     4,20"
2,BCO CITIBANK S.A.,"   0,55","     6,85"
3,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,06"
4,BCO MERCEDES-BENZ S.A.,"   0,61","     7,50"
5,BCO SANTANDER (BRASIL) S.A.,"   0,71","     8,91"
6,BCO SOCIETE GENERALE BRASIL,"   0,78","     9,78"
7,BANCO BTG PACTUAL S.A.,"   0,79","     9,92"
8,BCO INDUSTRIAL DO BRASIL S.A.,"   0,82","    10,26"
9,BCO VOTORANTIM S.A.,"   0,84","    10,60"
10,BCO BRADESCO S.A.,"   0,94","    11,85"
11,BCO SAFRA S.A.,"   1,00","    12,67"
12,BCO ABC BRASIL S.A.,"   1,07","    13,66"
13,ITAÚ UNIBANCO S.A.,"   1,09","    13,89"
14,BCO BS2 S.A.,"   1,09","    13,92"
15,BCO FIBRA S.A.,"   1,21","    15,49"
16,BCO DO BRASIL S.A.,"   1,27","    16,33"
17,BCO DAYCOVAL S.A,"   1,30","    16,73"
18,BCO DO ESTADO DO RS S.A.,"   1,32","    17,02"
19,HS FINANCEIRA,"   1,40","    18,20"
20,BCO RIBEIRAO PRETO S.A.,"   1,48","    19,22"
21,CAIXA ECONOMICA FEDERAL,"   1,55","    20,26"
22,BANCO RANDON S.A.,"   1,64","    21,48"
23,BCO TRIANGULO S.A.,"   1,65","    21,68"
24,OMNI BANCO S.A.,"   1,67","    22,04"
25,BCO SOFISA S.A.,"   1,72","    22,65"
26,BANCO MONEO S.A.,"   1,76","    23,22"
27,KREDILIG S.A. - CFI,"   1,83","    24,27"
28,BANCO ORIGINAL,"   1,88","    24,99"
29,BCO DO NORDESTE DO BRASIL S.A.,"   1,88","    25,10"
30,BCO BANESTES S.A.,"   1,90","    25,38"
31,BCO BNP PARIBAS BRASIL S A,"   1,92","    25,60"
32,BCO RENDIMENTO S.A.,"   1,96","    26,24"
33,SANTINVEST S.A. - CFI,"   1,97","    26,44"
34,BCO LUSO BRASILEIRO S.A.,"   2,03","    27,30"
35,BCO MAXINVEST S.A.,"   2,11","    28,54"
36,BCO MERCANTIL DO BRASIL S.A.,"   2,18","    29,59"
37,BCO DA AMAZONIA S.A.,"   2,58","    35,69"
38,CARUANA SCFI,"   2,62","    36,37"
39,FINANSINOS S.A. CFI,"   2,67","    37,13"
40,SANTANA S.A. - CFI,"   3,13","    44,73"
41,BRB - BCO DE BRASILIA S.A.,"   3,30","    47,67"
42,BCO CAPITAL S.A.,"   3,37","    48,76"
43,BCO CREFISA S.A.,"   3,41","    49,45"
44,BIORC FINANCEIRA - CFI S.A.,"   3,48","    50,76"
45,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
46,FINAMAX S.A. CFI,"   5,38","    87,60"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   5,42","    88,33"
48,BANCO DIGIO,"   8,63","   170,13"

