Textbox15,Textbox4,Textbox10
20/05/2020 a 26/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,27","     3,24"
2,BCO J.P. MORGAN S.A.,"   0,33","     4,00"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,37","     4,55"
4,BCO CITIBANK S.A.,"   0,50","     6,20"
5,BCO VOTORANTIM S.A.,"   0,56","     6,94"
6,BCO MERCEDES-BENZ S.A.,"   0,56","     6,95"
7,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
8,BCO SANTANDER (BRASIL) S.A.,"   0,66","     8,23"
9,BANCO FIDIS,"   0,67","     8,32"
10,BCO SOCIETE GENERALE BRASIL,"   0,69","     8,63"
11,BANCO BTG PACTUAL S.A.,"   0,74","     9,23"
12,BCO SAFRA S.A.,"   0,78","     9,72"
13,BCO FIBRA S.A.,"   0,97","    12,27"
14,BCO ABC BRASIL S.A.,"   1,09","    13,86"
15,ITAÚ UNIBANCO S.A.,"   1,09","    13,92"
16,BCO INDUSTRIAL DO BRASIL S.A.,"   1,11","    14,15"
17,BCO DO ESTADO DO RS S.A.,"   1,13","    14,37"
18,BCO BNP PARIBAS BRASIL S A,"   1,21","    15,51"
19,BCO DAYCOVAL S.A,"   1,21","    15,58"
20,BCO DO BRASIL S.A.,"   1,31","    16,92"
21,HS FINANCEIRA,"   1,33","    17,14"
22,CAIXA ECONOMICA FEDERAL,"   1,50","    19,62"
23,BCO DO NORDESTE DO BRASIL S.A.,"   1,54","    20,19"
24,BCO SOFISA S.A.,"   1,57","    20,55"
25,BANCO RANDON S.A.,"   1,59","    20,83"
26,OMNI BANCO S.A.,"   1,70","    22,37"
27,BANCO MONEO S.A.,"   1,71","    22,53"
28,KREDILIG S.A. - CFI,"   1,78","    23,56"
29,BCO RIBEIRAO PRETO S.A.,"   1,82","    24,18"
30,BCO BANESTES S.A.,"   1,93","    25,83"
31,BCO BRADESCO S.A.,"   1,93","    25,85"
32,GAZINCRED S.A. SCFI,"   1,96","    26,26"
33,SANTANA S.A. - CFI,"   2,01","    26,97"
34,BCO RENDIMENTO S.A.,"   2,04","    27,38"
35,SANTINVEST S.A. - CFI,"   2,08","    27,99"
36,BANCO ORIGINAL,"   2,14","    28,92"
37,BCO DA AMAZONIA S.A.,"   2,33","    31,90"
38,BCO MAXINVEST S.A.,"   2,37","    32,37"
39,BCO MERCANTIL DO BRASIL S.A.,"   2,66","    37,00"
40,BCO TRIANGULO S.A.,"   2,96","    41,87"
41,BIORC FINANCEIRA - CFI S.A.,"   3,70","    54,62"
42,BRB - BCO DE BRASILIA S.A.,"   3,78","    56,09"
43,BCO CREFISA S.A.,"   4,78","    75,07"
44,FINAMAX S.A. CFI,"   4,81","    75,72"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   5,24","    84,62"
46,BANCO DIGIO,"   9,40","   193,80"

