Textbox15,Textbox4,Textbox10
19/05/2020 a 25/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,27","     3,24"
2,BCO J.P. MORGAN S.A.,"   0,33","     4,00"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,37","     4,55"
4,BCO CITIBANK S.A.,"   0,55","     6,76"
5,BCO VOTORANTIM S.A.,"   0,57","     7,05"
6,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
7,BCO MERCEDES-BENZ S.A.,"   0,59","     7,34"
8,BANCO FIDIS,"   0,67","     8,32"
9,BCO SANTANDER (BRASIL) S.A.,"   0,69","     8,61"
10,BCO SOCIETE GENERALE BRASIL,"   0,69","     8,63"
11,BANCO BTG PACTUAL S.A.,"   0,70","     8,78"
12,BCO SAFRA S.A.,"   0,78","     9,81"
13,BCO FIBRA S.A.,"   0,97","    12,33"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   0,98","    12,35"
15,BCO ABC BRASIL S.A.,"   1,07","    13,67"
16,ITAÚ UNIBANCO S.A.,"   1,10","    14,07"
17,BCO DO ESTADO DO RS S.A.,"   1,12","    14,35"
18,BCO DAYCOVAL S.A,"   1,20","    15,41"
19,HS FINANCEIRA,"   1,30","    16,70"
20,BCO DO BRASIL S.A.,"   1,30","    16,80"
21,CAIXA ECONOMICA FEDERAL,"   1,53","    19,93"
22,BCO DO NORDESTE DO BRASIL S.A.,"   1,54","    20,15"
23,BCO SOFISA S.A.,"   1,55","    20,26"
24,BANCO RANDON S.A.,"   1,64","    21,54"
25,BCO BNP PARIBAS BRASIL S A,"   1,64","    21,60"
26,OMNI BANCO S.A.,"   1,72","    22,65"
27,BANCO MONEO S.A.,"   1,73","    22,85"
28,SANTINVEST S.A. - CFI,"   1,76","    23,26"
29,KREDILIG S.A. - CFI,"   1,78","    23,56"
30,BCO RIBEIRAO PRETO S.A.,"   1,82","    24,18"
31,BCO BANESTES S.A.,"   1,92","    25,69"
32,SANTANA S.A. - CFI,"   1,95","    26,11"
33,BCO RENDIMENTO S.A.,"   2,02","    27,17"
34,BANCO ORIGINAL,"   2,11","    28,43"
35,BCO BRADESCO S.A.,"   2,12","    28,59"
36,BCO MAXINVEST S.A.,"   2,17","    29,33"
37,GAZINCRED S.A. SCFI,"   2,23","    30,32"
38,BCO DA AMAZONIA S.A.,"   2,32","    31,63"
39,BCO LUSO BRASILEIRO S.A.,"   2,51","    34,69"
40,BCO TRIANGULO S.A.,"   2,84","    39,94"
41,BCO MERCANTIL DO BRASIL S.A.,"   2,84","    39,98"
42,BCO A.J. RENNER S.A.,"   3,11","    44,46"
43,BRB - BCO DE BRASILIA S.A.,"   3,31","    47,87"
44,BIORC FINANCEIRA - CFI S.A.,"   3,61","    53,04"
45,BCO CREFISA S.A.,"   3,84","    57,26"
46,FINAMAX S.A. CFI,"   4,78","    75,20"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   4,93","    78,13"
48,BANCO DIGIO,"   9,11","   184,57"

