Textbox15,Textbox4,Textbox10
22/05/2020 a 28/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,28","     3,42"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,35","     4,22"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,42","     5,20"
4,BCO HONDA S.A.,"   0,43","     5,22"
5,BANCOOB,"   0,53","     6,50"
6,BCO RABOBANK INTL BRASIL S.A.,"   0,62","     7,75"
7,BCO ABC BRASIL S.A.,"   0,69","     8,63"
8,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
9,BCO BOCOM BBM S.A.,"   0,72","     9,00"
10,BCO DO BRASIL S.A.,"   0,77","     9,69"
11,BCO BRADESCO S.A.,"   0,85","    10,65"
12,ITAÚ UNIBANCO S.A.,"   0,91","    11,43"
13,BCO FIBRA S.A.,"   0,91","    11,44"
14,BCO ALFA DE INVESTIMENTO S.A.,"   0,93","    11,73"
15,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,68"
16,BCO SANTANDER (BRASIL) S.A.,"   1,03","    13,05"
17,BCO BS2 S.A.,"   1,10","    14,03"
18,BCO SAFRA S.A.,"   1,12","    14,34"
19,BCO PINE S.A.,"   1,18","    15,13"
20,BCO DAYCOVAL S.A,"   1,22","    15,72"
21,BCO DO EST. DE SE S.A.,"   1,25","    16,07"
22,BCO VOLVO BRASIL S.A.,"   1,26","    16,14"
23,BCO SOFISA S.A.,"   1,26","    16,27"
24,BANCO PORTO REAL DE INVEST.S.A,"   1,30","    16,77"
25,AMAGGI S.A. CFI,"   1,31","    16,91"
26,BANCO INBURSA,"   1,47","    19,12"
27,BCO DO ESTADO DO RS S.A.,"   1,49","    19,43"
28,CAIXA ECONOMICA FEDERAL,"   1,49","    19,48"
29,BCO DO EST. DO PA S.A.,"   1,54","    20,16"
30,BANCO SEMEAR,"   1,61","    21,13"
31,BCO TRIANGULO S.A.,"   1,69","    22,33"
32,BCO GUANABARA S.A.,"   1,70","    22,42"
33,BCO DA AMAZONIA S.A.,"   1,76","    23,27"
34,BCO TRICURY S.A.,"   1,80","    23,87"
35,FINANC ALFA S.A. CFI,"   2,00","    26,82"
36,BCO RENDIMENTO S.A.,"   2,01","    27,02"
37,BCO MUFG BRASIL S.A.,"   2,03","    27,24"
38,BCO INDUSCRED DE INVESTIM. S/A,"   2,12","    28,69"
39,BRB - BCO DE BRASILIA S.A.,"   2,13","    28,83"
40,BCO ARBI S.A.,"   2,20","    29,84"
41,GOLCRED S/A - CFI,"   2,27","    30,86"
42,PORTOSEG S.A. CFI,"   2,62","    36,44"
43,SENFF S.A. - CFI,"   2,73","    38,15"
44,BRK S.A. CFI,"   3,02","    42,84"
45,BANCO TOPÁZIO S.A.,"   6,73","   118,48"

