Textbox15,Textbox4,Textbox10
14/05/2020 a 20/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,33","     4,06"
2,BCO CITIBANK S.A.,"   0,54","     6,64"
3,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
4,BCO MERCEDES-BENZ S.A.,"   0,59","     7,33"
5,BCO SAFRA S.A.,"   0,65","     8,02"
6,BCO SOCIETE GENERALE BRASIL,"   0,67","     8,40"
7,BANCO BTG PACTUAL S.A.,"   0,69","     8,54"
8,BCO SANTANDER (BRASIL) S.A.,"   0,70","     8,68"
9,BCO VOTORANTIM S.A.,"   0,71","     8,86"
10,BCO BRADESCO S.A.,"   0,80","    10,00"
11,BCO INDUSTRIAL DO BRASIL S.A.,"   0,92","    11,62"
12,BCO FIBRA S.A.,"   1,02","    12,95"
13,BCO ABC BRASIL S.A.,"   1,05","    13,37"
14,ITAÚ UNIBANCO S.A.,"   1,12","    14,31"
15,BCO DO ESTADO DO RS S.A.,"   1,13","    14,40"
16,BCO DAYCOVAL S.A,"   1,13","    14,45"
17,BCO DO BRASIL S.A.,"   1,20","    15,45"
18,HS FINANCEIRA,"   1,28","    16,44"
19,BCO DO NORDESTE DO BRASIL S.A.,"   1,50","    19,61"
20,CAIXA ECONOMICA FEDERAL,"   1,59","    20,86"
21,GAZINCRED S.A. SCFI,"   1,59","    20,87"
22,BCO RIBEIRAO PRETO S.A.,"   1,62","    21,20"
23,BCO SOFISA S.A.,"   1,63","    21,40"
24,OMNI BANCO S.A.,"   1,70","    22,39"
25,BANCO RANDON S.A.,"   1,70","    22,44"
26,BANCO MONEO S.A.,"   1,73","    22,87"
27,SANTINVEST S.A. - CFI,"   1,75","    23,16"
28,BCO BNP PARIBAS BRASIL S A,"   1,85","    24,60"
29,BCO GUANABARA S.A.,"   1,90","    25,40"
30,BCO RENDIMENTO S.A.,"   1,99","    26,62"
31,BCO MAXINVEST S.A.,"   2,00","    26,75"
32,BCO BANESTES S.A.,"   2,09","    28,15"
33,BANCO ORIGINAL,"   2,09","    28,17"
34,BCO LUSO BRASILEIRO S.A.,"   2,30","    31,32"
35,BCO DA AMAZONIA S.A.,"   2,33","    31,86"
36,CARUANA SCFI,"   2,57","    35,59"
37,BCO TRIANGULO S.A.,"   2,68","    37,37"
38,SANTANA S.A. - CFI,"   3,00","    42,62"
39,BRB - BCO DE BRASILIA S.A.,"   3,08","    43,89"
40,BCO A.J. RENNER S.A.,"   3,11","    44,46"
41,BCO CREFISA S.A.,"   3,73","    55,17"
42,BIORC FINANCEIRA - CFI S.A.,"   3,73","    55,21"
43,BCO MERCANTIL DO BRASIL S.A.,"   3,82","    56,79"
44,BCO DO EST. DE SE S.A.,"   3,89","    58,15"
45,BCO CAPITAL S.A.,"   4,34","    66,58"
46,FINAMAX S.A. CFI,"   4,82","    75,96"
47,VIA CERTA FINANCIADORA S.A. - CFI,"   5,20","    83,65"
48,BANCO DIGIO,"  10,39","   227,48"

