Textbox15,Textbox4,Textbox10
04/05/2020 a 08/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO MIZUHO S.A.,"   0,31","     3,75"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,34","     4,10"
3,BCO HONDA S.A.,"   0,43","     5,23"
4,BCO DO NORDESTE DO BRASIL S.A.,"   0,47","     5,72"
5,BANCOOB,"   0,57","     7,06"
6,BCO MUFG BRASIL S.A.,"   0,60","     7,42"
7,BCO CITIBANK S.A.,"   0,61","     7,61"
8,BCO VOTORANTIM S.A.,"   0,65","     8,09"
9,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
10,BCO ABC BRASIL S.A.,"   0,75","     9,32"
11,BCO DAYCOVAL S.A,"   0,79","     9,87"
12,ITAÚ UNIBANCO S.A.,"   0,85","    10,69"
13,BCO BRADESCO S.A.,"   0,86","    10,80"
14,BCO BANESTES S.A.,"   0,91","    11,54"
15,BCO SAFRA S.A.,"   0,92","    11,65"
16,BCO SOFISA S.A.,"   0,95","    11,99"
17,BCO DO ESTADO DO RS S.A.,"   1,06","    13,53"
18,BCO VOLVO BRASIL S.A.,"   1,14","    14,51"
19,BCO RODOBENS S.A.,"   1,14","    14,53"
20,BCO SANTANDER (BRASIL) S.A.,"   1,15","    14,72"
21,BCO BMG S.A.,"   1,20","    15,35"
22,BCO PINE S.A.,"   1,22","    15,66"
23,BCO DO EST. DE SE S.A.,"   1,28","    16,46"
24,BCO DO BRASIL S.A.,"   1,37","    17,80"
25,BCO BS2 S.A.,"   1,40","    18,16"
26,BANCO INBURSA,"   1,45","    18,91"
27,CAIXA ECONOMICA FEDERAL,"   1,62","    21,28"
28,BANCO SEMEAR,"   1,65","    21,68"
29,BCO DA AMAZONIA S.A.,"   1,75","    23,17"
30,BCO ARBI S.A.,"   1,85","    24,60"
31,BCO INDUSCRED DE INVESTIM. S/A,"   1,89","    25,26"
32,BRB - BCO DE BRASILIA S.A.,"   1,94","    26,00"
33,BCO GUANABARA S.A.,"   2,10","    28,32"
34,GOLCRED S/A - CFI,"   2,43","    33,34"
35,BCO MAXINVEST S.A.,"   2,59","    35,88"
36,PORTOSEG S.A. CFI,"   2,74","    38,35"
37,BCO TRIANGULO S.A.,"   2,79","    39,08"
38,BCO MERCANTIL DO BRASIL S.A.,"   2,98","    42,23"
39,BRK S.A. CFI,"   3,05","    43,35"
40,SENFF S.A. - CFI,"   3,56","    52,22"
41,BANCO TOPÁZIO S.A.,"   3,70","    54,68"
42,DIRECAO S.A. CFI,"   4,60","    71,52"
43,VIA CERTA FINANCIADORA S.A. - CFI,"  10,39","   227,41"

