Textbox15,Textbox4,Textbox10
13/05/2020 a 19/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO J.P. MORGAN S.A.,"   0,33","     3,99"
2,BCO CITIBANK S.A.,"   0,54","     6,70"
3,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
4,BCO MERCEDES-BENZ S.A.,"   0,59","     7,25"
5,BCO SANTANDER (BRASIL) S.A.,"   0,68","     8,48"
6,BANCO BTG PACTUAL S.A.,"   0,70","     8,69"
7,BCO SAFRA S.A.,"   0,71","     8,80"
8,BCO VOTORANTIM S.A.,"   0,75","     9,42"
9,BCO BRADESCO S.A.,"   0,81","    10,12"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,89","    11,22"
11,BCO ABC BRASIL S.A.,"   1,05","    13,37"
12,BCO FIBRA S.A.,"   1,06","    13,50"
13,ITAÚ UNIBANCO S.A.,"   1,10","    13,98"
14,BCO DAYCOVAL S.A,"   1,19","    15,18"
15,BCO DO BRASIL S.A.,"   1,20","    15,37"
16,BCO DO ESTADO DO RS S.A.,"   1,28","    16,43"
17,HS FINANCEIRA,"   1,39","    17,95"
18,BCO DO NORDESTE DO BRASIL S.A.,"   1,53","    20,04"
19,GAZINCRED S.A. SCFI,"   1,54","    20,15"
20,BCO SOFISA S.A.,"   1,57","    20,56"
21,CAIXA ECONOMICA FEDERAL,"   1,60","    20,95"
22,BCO RIBEIRAO PRETO S.A.,"   1,67","    21,99"
23,OMNI BANCO S.A.,"   1,69","    22,22"
24,BANCO RANDON S.A.,"   1,71","    22,49"
25,SANTINVEST S.A. - CFI,"   1,75","    23,15"
26,BANCO MONEO S.A.,"   1,76","    23,32"
27,BCO BNP PARIBAS BRASIL S A,"   1,90","    25,30"
28,BCO GUANABARA S.A.,"   1,90","    25,40"
29,BCO RENDIMENTO S.A.,"   1,99","    26,63"
30,BCO MAXINVEST S.A.,"   1,99","    26,71"
31,BCO BANESTES S.A.,"   2,06","    27,73"
32,BANCO ORIGINAL,"   2,10","    28,35"
33,BCO LUSO BRASILEIRO S.A.,"   2,28","    31,07"
34,BCO DA AMAZONIA S.A.,"   2,33","    31,86"
35,CARUANA SCFI,"   2,57","    35,59"
36,SANTANA S.A. - CFI,"   2,60","    36,06"
37,BCO TRIANGULO S.A.,"   2,63","    36,48"
38,BCO A.J. RENNER S.A.,"   3,11","    44,46"
39,BCO MERCANTIL DO BRASIL S.A.,"   3,12","    44,62"
40,BRB - BCO DE BRASILIA S.A.,"   3,15","    45,00"
41,BCO DO EST. DE SE S.A.,"   3,68","    54,31"
42,BIORC FINANCEIRA - CFI S.A.,"   3,73","    55,21"
43,BCO CREFISA S.A.,"   3,81","    56,58"
44,BCO CAPITAL S.A.,"   4,34","    66,58"
45,FINAMAX S.A. CFI,"   5,06","    80,88"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,21","    83,84"
47,BANCO DIGIO,"  10,39","   227,48"

