Textbox15,Textbox4,Textbox10
18/05/2020 a 22/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,34","     4,17"
2,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,42","     5,20"
3,BCO HONDA S.A.,"   0,43","     5,25"
4,BCO CITIBANK S.A.,"   0,57","     7,03"
5,BANCOOB,"   0,57","     7,06"
6,BCO ABC BRASIL S.A.,"   0,63","     7,81"
7,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
8,BCO VOTORANTIM S.A.,"   0,80","    10,00"
9,BCO DO BRASIL S.A.,"   0,84","    10,54"
10,BCO SAFRA S.A.,"   0,88","    11,02"
11,ITAÚ UNIBANCO S.A.,"   0,89","    11,23"
12,BCO SANTANDER (BRASIL) S.A.,"   0,94","    11,88"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO VOLVO BRASIL S.A.,"   1,08","    13,82"
15,BCO ALFA S.A.,"   1,13","    14,41"
16,BCO BRADESCO S.A.,"   1,29","    16,68"
17,BCO DO EST. DE SE S.A.,"   1,32","    17,01"
18,BCO DO NORDESTE DO BRASIL S.A.,"   1,39","    17,99"
19,CAIXA ECONOMICA FEDERAL,"   1,45","    18,87"
20,BCO DO ESTADO DO RS S.A.,"   1,49","    19,38"
21,BANCO INBURSA,"   1,50","    19,56"
22,BANCO BTG PACTUAL S.A.,"   1,56","    20,39"
23,BANCO SEMEAR,"   1,67","    21,95"
24,CARUANA SCFI,"   1,80","    23,87"
25,BCO INDUSTRIAL DO BRASIL S.A.,"   1,90","    25,34"
26,FINANC ALFA S.A. CFI,"   2,00","    26,82"
27,BCO DAYCOVAL S.A,"   2,02","    27,06"
28,BCO MUFG BRASIL S.A.,"   2,03","    27,24"
29,BCO MERCANTIL DO BRASIL S.A.,"   2,08","    28,00"
30,GOLCRED S/A - CFI,"   2,09","    28,10"
31,BRB - BCO DE BRASILIA S.A.,"   2,09","    28,11"
32,LECCA CFI S.A.,"   2,20","    29,77"
33,BCO ARBI S.A.,"   2,20","    29,84"
34,BCO INDUSCRED DE INVESTIM. S/A,"   2,31","    31,57"
35,SENFF S.A. - CFI,"   2,77","    38,80"
36,BCO TRIANGULO S.A.,"   2,87","    40,40"
37,BCO DA AMAZONIA S.A.,"   2,88","    40,58"
38,BRK S.A. CFI,"   3,02","    42,84"
39,BCO BANESTES S.A.,"   3,10","    44,23"
40,VIA CERTA FINANCIADORA S.A. - CFI,"   3,42","    49,64"
41,PORTOSEG S.A. CFI,"   3,69","    54,43"
42,BANCO TOPÁZIO S.A.,"   9,39","   193,62"

