Instituição financeira;tx a.m.;tx a.a.;data_i;data_f;segmento;modalidade;tipo_encargo;nome_do_arquivo
BCO DES. DE MG S.A.;1,34%;17,26%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO DO EST. DE SE S.A.;1,39%;17,95%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO DO EST. DO PA S.A.;1,45%;18,81%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO DA AMAZONIA S.A.;1,48%;19,34%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO RIBEIRAO PRETO S.A.;1,50%;19,56%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO GUANABARA S.A.;1,52%;19,86%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO BRADESCO S.A.;1,65%;21,67%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
FACTA S.A. CFI;1,67%;21,99%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;1,70%;22,48%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
CARUANA SCFI;1,72%;22,69%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO BANESTES S.A.;1,76%;23,30%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BANCO SEMEAR;1,79%;23,68%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO INDUSTRIAL DO BRASIL S.A.;1,91%;25,51%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
GOLCRED S/A - CFI;1,95%;26,09%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO DO ESTADO DO RS S.A.;2,11%;28,40%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
SIMPALA S.A. CFI;2,19%;29,71%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BCO MAXINVEST S.A.;2,22%;30,13%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
PORTOSEG S.A. CFI;2,34%;32,02%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
BANCO TOPÁZIO S.A.;2,46%;33,86%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
SOCINAL S.A. CFI;2,60%;36,07%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
OMNI BANCO S.A.;4,03%;60,73%;05/05/2020;11/05/2020;Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;Pessoa jurídica-Capital de giro com prazo superior a 365 dias-Pré-fixado-05-05-2020.csv
ICBC DO BRASIL BM S.A.;0,28%;3,42%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO J.P. MORGAN S.A.;0,34%;4,15%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO CITIBANK S.A.;0,55%;6,82%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DE LAGE LANDEN BRASIL S.A.;0,57%;7,06%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO MERCEDES-BENZ S.A.;0,63%;7,84%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;0,71%;8,92%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BANCO BTG PACTUAL S.A.;0,73%;9,09%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO SOCIETE GENERALE BRASIL;0,77%;9,66%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO VOTORANTIM S.A.;0,82%;10,26%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO INDUSTRIAL DO BRASIL S.A.;0,88%;11,05%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO SAFRA S.A.;0,92%;11,61%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO BRADESCO S.A.;0,94%;11,85%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO ABC BRASIL S.A.;1,07%;13,63%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
ITAÚ UNIBANCO S.A.;1,09%;13,86%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO BS2 S.A.;1,09%;13,92%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO FIBRA S.A.;1,14%;14,52%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DO BRASIL S.A.;1,26%;16,27%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DO ESTADO DO RS S.A.;1,31%;16,96%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
HS FINANCEIRA;1,38%;17,91%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DAYCOVAL S.A;1,39%;18,08%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO RIBEIRAO PRETO S.A.;1,47%;19,20%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
CAIXA ECONOMICA FEDERAL;1,60%;20,91%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO TRIANGULO S.A.;1,61%;21,06%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BANCO RANDON S.A.;1,62%;21,28%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO BANESTES S.A.;1,69%;22,22%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
OMNI BANCO S.A.;1,71%;22,61%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BANCO MONEO S.A.;1,77%;23,37%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO SOFISA S.A.;1,78%;23,59%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
KREDILIG S.A. - CFI;1,83%;24,27%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO RENDIMENTO S.A.;1,94%;25,92%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
SANTINVEST S.A. - CFI;1,95%;26,15%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BANCO ORIGINAL;1,96%;26,19%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO BNP PARIBAS BRASIL S A;1,98%;26,59%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DO NORDESTE DO BRASIL S.A.;2,03%;27,21%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO LUSO BRASILEIRO S.A.;2,03%;27,30%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO MERCANTIL DO BRASIL S.A.;2,08%;28,03%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO MAXINVEST S.A.;2,11%;28,44%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
FINANSINOS S.A. CFI;2,67%;37,13%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DA AMAZONIA S.A.;2,86%;40,31%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BRB - BCO DE BRASILIA S.A.;2,98%;42,23%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
SANTANA S.A. - CFI;3,16%;45,21%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO CAPITAL S.A.;3,41%;49,45%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO CREFISA S.A.;3,41%;49,45%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BIORC FINANCEIRA - CFI S.A.;3,55%;51,91%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BCO DO EST. DE SE S.A.;4,16%;63,17%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
VIA CERTA FINANCIADORA S.A. - CFI;5,51%;90,43%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
FINAMAX S.A. CFI;5,61%;92,56%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
BANCO DIGIO;8,75%;173,68%;05/05/2020;11/05/2020;Pessoa jurídica;Desconto de duplicatas;Pré-fixado;Pessoa jurídica-Desconto de duplicatas-Pré-fixado-05-05-2020.csv
